0	3.5316
0.01	3.601164988
0.02	3.805108484
0.03	4.134214286
0.04	4.574957255
0.05	5.108207143
0.06	5.708977444
0.07	6.347476331
0.08	6.991423206
0.09	7.609203947
0.1	8.173131429
0.11	8.662025712
0.12	9.062571429
0.13	9.369324659
0.14	9.583627717
0.15	9.7119
0.16	9.763779681
0.17	9.750462958
0.18	9.683419355
0.19	9.573520911
0.2	9.430536264
0.21	9.262903846
0.22	9.077695358
0.23	8.880694698
0.24	8.676536892
0.25	8.468869737
0.26	8.260515393
0.27	8.053619438
0.28	7.849781735
0.29	7.650167591
0.3	7.4556
0.31	7.266634897
0.32	7.08362178
0.33	6.90675206
0.34	6.736097331
0.35	6.571639459
0.36	6.413294118
0.37	6.260929092
0.38	6.114378457
0.39	5.973453488
0.4	5.83795102
0.41	5.707659801
0.42	5.582365284
0.43	5.461853201
0.44	5.345912194
0.45	5.234335714
0.46	5.126923355
0.47	5.023481753
0.48	4.92382516
0.49	4.827775755
0.5	4.735163778
0.51	4.645827511
0.52	4.559613163
0.53	4.476374675
0.54	4.395973477
0.55	4.318278203
0.56	4.243164394
0.57	4.170514175
0.58	4.100215944
0.59	4.032164045
0.6	3.966258462
0.61	3.902404509
0.62	3.840512538
0.63	3.780497656
0.64	3.722279453
0.65	3.665781745
0.66	3.610932331
0.67	3.557662762
0.68	3.50590812
0.69	3.455606817
0.7	3.406700397
0.71	3.359133354
0.72	3.312852964
0.73	3.267809122
0.74	3.22395419
0.75	3.181242857
0.76	3.139632007
0.77	3.099080592
0.78	3.059549517
0.79	3.021001529
0.8	2.983401116
0.81	2.946714408
0.82	2.910909091
0.83	2.875954317
0.84	2.841820628
0.85	2.808479879
0.86	2.775905169
0.87	2.744070776
0.88	2.712952093
0.89	2.682525571
0.9	2.652768664
0.91	2.623659776
0.92	2.595178217
0.93	2.567304152
0.94	2.54001856
0.95	2.513303195
0.96	2.487140547
0.97	2.461513804
0.98	2.436406821
0.99	2.411804087
1	2.387690694
1.01	2.364052307
1.02	2.340875143
1.03	2.318145936
1.04	2.295851923
1.05	2.273980814
1.06	2.252520773
1.07	2.231460396
1.08	2.210788696
1.09	2.190495079
1.1	2.17056933
1.11	2.151001595
1.12	2.131782366
1.13	2.112902467
1.14	2.094353037
1.15	2.076125521
1.16	2.058211651
1.17	2.040603442
1.18	2.023293172
1.19	2.006273379
1.2	1.989536842
1.21	1.97307658
1.22	1.956885836
1.23	1.940958071
1.24	1.925286955
1.25	1.909866356
1.26	1.894690337
1.27	1.879753147
1.28	1.86504921
1.29	1.850573124
1.3	1.83631965
1.31	1.822283709
1.32	1.808460373
1.33	1.794844864
1.34	1.781432541
1.35	1.768218904
1.36	1.755199582
1.37	1.742370331
1.38	1.729727029
1.39	1.717265674
1.4	1.704982374
1.41	1.69287335
1.42	1.680934927
1.43	1.669163534
1.44	1.657555696
1.45	1.646108036
1.46	1.634817267
1.47	1.623680193
1.48	1.612693702
1.49	1.601854767
1.5	1.59116044
1.51	1.580607851
1.52	1.570194207
1.53	1.559916785
1.54	1.549772934
1.55	1.539760071
1.56	1.529875679
1.57	1.520117306
1.58	1.510482559
1.59	1.500969108
1.6	1.491574679
1.61	1.482297056
1.62	1.473134077
1.63	1.464083631
1.64	1.455143663
1.65	1.446312162
1.66	1.43758717
1.67	1.428966773
1.68	1.420449104
1.69	1.412032339
1.7	1.403714698
1.71	1.395494442
1.72	1.387369872
1.73	1.379339328
1.74	1.371401189
1.75	1.363553872
1.76	1.355795826
1.77	1.34812554
1.78	1.340541533
1.79	1.33304236
1.8	1.325626605
1.81	1.318292886
1.82	1.311039849
1.83	1.303866173
1.84	1.296770561
1.85	1.289751748
1.86	1.282808495
1.87	1.275939588
1.88	1.269143841
1.89	1.262420091
1.9	1.255767202
1.91	1.249184059
1.92	1.242669572
1.93	1.236222674
1.94	1.229842318
1.95	1.22352748
1.96	1.217277156
1.97	1.211090364
1.98	1.204966139
1.99	1.198903539
2	1.192901638
2.01	1.18695953
2.02	1.181076325
2.03	1.175251153
2.04	1.169483159
2.05	1.163771506
2.06	1.158115373
2.07	1.152513955
2.08	1.146966461
2.09	1.141472117
2.1	1.136030164
2.11	1.130639855
2.12	1.125300459
2.13	1.120011259
2.14	1.114771549
2.15	1.10958064
2.16	1.104437852
2.17	1.099342519
2.18	1.094293989
2.19	1.089291618
2.2	1.084334778
2.21	1.07942285
2.22	1.074555225
2.23	1.069731308
2.24	1.064950513
2.25	1.060212263
2.26	1.055515994
2.27	1.050861151
2.28	1.046247187
2.29	1.041673567
2.3	1.037139764
2.31	1.03264526
2.32	1.028189546
2.33	1.023772124
2.34	1.019392501
2.35	1.015050194
2.36	1.010744728
2.37	1.006475637
2.38	1.002242462
2.39	0.99804475
2.4	0.99388206
2.41	0.989753954
2.42	0.985660003
2.43	0.981599784
2.44	0.977572884
2.45	0.973578893
2.46	0.969617409
2.47	0.965688038
2.48	0.961790391
2.49	0.957924084
2.5	0.954088742
2.51	0.950283994
2.52	0.946509476
2.53	0.942764828
2.54	0.939049697
2.55	0.935363736
2.56	0.931706603
2.57	0.928077961
2.58	0.924477477
2.59	0.920904827
2.6	0.917359687
2.61	0.913841742
2.62	0.91035068
2.63	0.906886194
2.64	0.903447982
2.65	0.900035745
2.66	0.896649191
2.67	0.893288031
2.68	0.88995198
2.69	0.886640758
2.7	0.883354089
